header,content,tags,visits,comments,post_time,relative_url
"""Сити"" унизительно проиграл ""Тоттенхэму""","""Манчестер Сити"" унизительным образом проиграл ""Тоттенхэму"", пропустив четыре безответных мяча в домашних стенах.,В стартовый состав ""горожан"" вернулись Джон Стоунс, Мануэль Аканджи и Бернарду Силва, заменив Джахмая Симпсон-Пьюзи, Матеуша Нунеша и Матео Ковачича.,Три перестановки произошло и в старте у ""шпор"". Этими новыми лицами оказались Бен Дэвис, Ив Биссума и Джеймс Мэддисон, заменив Кристиана Ромеро, Родриго Бентанкура и Бреннана Джонсона.,Хозяева очень резво начали матч и уже на пятой минуте были обязаны открывать счет. Эрлинг Холанд был выведен на отличную позицию в штрафной, но пробить сразу не решился, а когда все же нанес удар, то промахнулся.,На 11-й минуте Холанд уже попал в створ, резко пробив в касание из пределов штрафной, однако голкипер гостей Гульельмо Викарио выручил свою команду.,Прошло еще две минуты, и ""Сити"" внезапно пропустил. Деян Кулусевски ускользнул от Йошко Гвардиола на правом фланге и выполнил подачу во вратарскую, а там Мэддисон ногой в касание переправил мяч в сетку — 0:1.,На 18-й минуте Эдерсон спас ""горожан"" от второго гола, отразив крученый удар Сона Хен Мина с дистанции.,И все-таки ""Тоттенхэм"" удвоил счет. Сон выждал паузу в штрафной и сделал короткую передачу на подключившегося Мэддисона, который подсек мяч перед Эдерсоном — 0:2.,Вскоре хозяева пришли в чувство и вернули себе контроль над игрой, но до перерыва лишь еще пару раз напрягли Викарио. При этом гости всегда были готовы убежать в прорыв, легко преодолевая центр поля.,Второй тайм начался с того, что разница в счете стала крупной. Доминик Соланке догнал уходящий мяч и почти от лицевой линии покатил назад под удар Педро Порро — 0:3.,""Сити"" не оставалось ничего другого, кроме как бросить все силы вперед. На 60-й минуте Холанд едва не отыграл один гол, пробив в перекладину.,У ""Тоттенхэма"" появились возможности для контратак, и на 60-й минуте только Эдерсон избавил свою команду от четвертого пропущенного гола после удара Кулусевски с близкого расстояния.,В концовке матча Викарио совершил еще пару сейвов, а когда уже шло компенсированное время, Тимо Вернер своим прострелом вывел на пустой угол ворот Бреннана Джонсона — 0:4.,""Сити"" обнадеживающим образом начал этот матч, но ""Тоттенхэм"" открыл счет в первой же вразумительной атаке. Дальше ""горожане"" уже не были похожи на себя, потерпев унизительное домашнее поражение.,17:00,19:30,23:00,23:00,23:00","Манчестер Сити,обзор матча,Премьер-Лига,Тоттенхэм",7797,84,23.11.2024,/posts/111389/
12-й тур Премьер-Лиги. Анонс матчей воскресенья,"В воскресенье, 24 октября, двумя поединками продолжится 12-й тур Премьер-Лиги. Предлагаем вашему вниманию анонс этих матчей.,17:00,,""Саутгемптон"" может стать восьмой в истории командой, проигравшей 10 из 12 первых матчей в сезоне высшего английского дивизиона, причем семь предыдущих все вылетели. В рамках Премьер-Лиги ""Ливерпуль"" терял очки в каждом из четырех последних выездов к победителю финала плей-офф Чемпионшипа предыдущего сезона. ""Святые"" одержали лишь одну победу в 14 последних встречах с ""красными"" в Премьер-Лиге — 0:1 на ""Энфилде"" в январе 2021 (3 ничьи, 10 поражений).,В этот международный перерыв ""Саутгемптон"" потерял с травмами Аарона Рамсдейла и Яна Беднарека дополнительно к уже отсутствующим Гэвину Базуну, Уиллу Смоллбоуну и Россу Стюарту. Флинн Даунс и Райан Фрэйзер должны вернуться в строй.,Защитник ""Ливерпуля"" Трент Александер-Арнольд пока не возобновил тренировки после травмы задней поверхности бедра. Виргил Ван Дейк в порядке, несмотря на досрочное возвращение из сборной Голландии. Алиссон, Федерико Кьеза и Диогу Жота по-прежнему недоступны.,19:30,,""Ипсвич"" — единственная в Премьер-Лиге команда, которая еще не побеждала дома в этом сезоне (3 ничьи, 2 поражения). ""Манчестер Юнайтед"" выиграл только два из 13 последних выездных матчей во всех соревнованиях (6 ничьих, 5 поражений). ""Красные дьяволы"" одержали четыре победы в пяти последних встречах с ""трактористами"" в высшем дивизионе, пропустив лишь один гол.,Полузащитник ""Ипсвича"" Калвин Филлипс завершил отбывать свою дисквалификацию, но столкнулся с проблемами со здоровьем. Джефф Херст проведет некоторое время вне игры с повреждением колена. Джейкоб Гривз и Джек Тэйлор могут вернуться в строй. Уэс Бернс и Натан Бродхэд тренировались, несмотря на болячки.,""Юнайтед"" предстоит оценить состояние ряда игроков, включая Лисандро Мартинеса и новичка Лени Йоро. Люк Шоу уже вовсю тренируется, но его форма вызывает вопросы.,17:00,19:30,23:00,23:00,23:00","анонс тура,Премьер-Лига",6726,347,24.11.2024,/posts/111392/
"Аморим: ""Я могу быть Улыбающимся""","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим выбрал для себя прозвище.,В свое время Жозе Моуриньо, легендарный соотечественник Аморима, назвал себя ""Особенным"", когда впервые приехал в Премьер-Лигу.,Готовясь к своему дебюту, Аморим предложил прозвище для себя, но предупредил, что его доброе лицо может быстро измениться.,""Я могу быть Улыбающимся, потому что, когда мы в процессе работы, я буду другим человеком. Для веселья всегда есть место, но я могу быть беспощадным, когда нужно"".,""Я могу быть самым милым парнем, что вы когда-либо увидите, но если кто-нибудь будет думать только о себе, я предстану другим человеком"", — цитирует Аморима BBC.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,тренеры",2437,5,24.11.2024,/posts/111394/
"Аморим: ""Я — правильный парень для ""Юнайтед""","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим убежден, что является ""правильным парнем"" для своего нового клуба.,После ухода сэра Алекса Фергюсона на пенсию в 2013 году в ""Юнайтед"" провалились многие именитые тренеры, однако это не отпугнуло Аморима. Рубен думает, что ему по плечу эта работа.,""Конечно, я не считаю, что это слишком сложная работа для меня, я правда так не думаю.  Назовите меня наивным, но я правда верю, что я — правильный парень в правильный момент времени"".,""Я могу ошибаться, но планета продолжит вращаться, солнце снова взойдет, так что я не переживаю насчет этого. Я искренне верю, что я — правильный парень для этой работы"", — цитирует Аморима talkSPORT.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,тренеры",1738,4,23.11.2024,/posts/111376/
"Мэддисон: ""Это был настоящий ""Тоттенхэм""","Полузащитник ""Тоттенхэма"" Джеймс Мэддисон заявил, что в победном матче против ""Манчестер Сити"" его команда предстала в своем истинном обличии.,В субботу ""Тоттенхэм"" одержал сенсационную победу на ""Этихад"" со счетом 0:4, и Мэддисон хочет, чтобы этот матч стал ориентиром в плане уровня игры для его команды.,""Это был настоящий ""Тоттенхэм"" сегодня. Тот, которым мы стремимся быть. У нас было немного всего. Мы высоко прессинговали, глубоко оборонялись, полагались на своего голкипера, играли в блок, забили на контратаке, были смелыми"".,""Эти 90 минут — то, каким мы хотим видеть ""Тоттенхэм"", хотим видеть более стабильно. Это хороший ориентир, чтобы хорошо провести период около Рождества"", — цитирует Мэддисона Sky Sports.,17:00,19:30,23:00,23:00,23:00","Манчестер Сити,Мэддисон,Премьер-Лига,Тоттенхэм",2424,5,24.11.2024,/posts/111393/
"Джордан рассказал, как собрал тачку с монетами для выплаты штрафа FA","Бывший президент ""Кристал Пэлас"" Саймон Джордан рассказал, как он решил выплатить наложенный на него штраф FA монетами в 1 фунт.,Ранее в своей карьере Джордан, когда ему было 32 года, стал самым молодым владельцем и президентом клуба Премьер-Лиги.,В 2005 году FA оштрафовала Джордана на 10,000 фунтов за комментарии в газете, но попытка Саймона поиздеваться над Ассоциацией провалилась.,""Когда FA оштрафовала меня на 10,000 фунтов, я пообещал привезти эту сумму на тачке монетами в фунт"".,""Затем они заморозили штраф, и я остался с монетами в фунт на 10,000. Я не знал, что с этим делать"", — сообщил Джордан в эфире talkSPORT.,17:00,19:30,23:00,23:00,23:00","Джордан,Кристал Пэлас",2226,4,24.11.2024,/posts/111396/
"Аморим: ""Я должен быть в сильном положении насчет трансферов""","Новый наставник ""Манчестер Юнайтед"" Рубен Аморим заявил, что ожидает получить большую власть в вопросе трансферов.,С недавних пор ""Юнайтед"" обладает Дэном Эшуортом в качестве спортивного директора и Джейсоном Уилкоксом в качестве технического директора, которые в основном и занимаются комплектацией состава.,Однако Аморим надеется активно участвовать в этом процессе, причем просто права вето Рубену мало.,""Я должен быть в сильном положении насчет трансферов, потому что я являюсь тренером и знаю, как играть. Эти решения являются совместными, но последнее слово должно быть за тренером — не только потому, что это твое право, но и потому, что это твоя ответственность. В конце концов от тебя требуют результаты"".,""Вместе мы должны улучшить процесс комплектации состава. Я должен понять эту лигу. Когда мы притремся друг к другу, и каждый будет на одной волне, мы сможем покупать и продавать игроков"".,""Это не так, что за мной будет последнее слово. На мне будет огромная ответственность в плане выбора игроков. Так должно быть. Я являюсь тренером, поэтому я и должен выбирать игроков"", — цитирует Аморима talkSPORT.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,трансферы,тренеры",2096,3,23.11.2024,/posts/111373/
"""Юнайтед"" составил шорт-лист из трех левых вингбеков","""Манчестер Юнайтед"" составил шорт-лист из трех левых вингбеков.,Новый главный тренер ""Юнайтед"" Рубен Аморим предпочитает играть по схеме 3-4-3 или ее вариациям, а на Люка Шоу или Тирелла Маласиа он положиться никак не может из-за бесконечных проблем обоих со здоровьем.,Поэтому, сообщает Daily Mirror, ""Юнайтед"" собирается пригласить игрока, на которого Аморим сможет рассчитывать каждую неделю и который является специалистом по игре на левом фланге по схеме Рубена.,В данный момент шорт-лист ""Юнайтед"" среди левых вингбеков включает в себя Альфонсо Дэвиса из ""Баварии"", Альваро Фернандеса из ""Бенфики"" и Милоша Керкеза из ""Борнмута"".,Дэвис может стать свободным агентом в конце сезона, однако на него претендуют некоторые другие топ-клубы Европы, а Керкеза также хотят ""Ливерпуль"" и ""Челси"". В то же время ""Юнайтед"" принадлежит опция обратного выкупа Фернандеса за 16.7 млн. фунтов.,17:00,19:30,23:00,23:00,23:00",Манчестер Юнайтед,3308,1,24.11.2024,/posts/111395/
"Артета: ""Соперники не были лучше в матчах, которые мы не выиграли""","Главный тренер ""Арсенала"" Микель Артета считает, что результаты его команды в последних матчах не соответствовали игре.,""Арсенал"" заметно сбавил перед международным перерывом, набрав лишь два очка в четырех последних матчах Премьер-Лиги.,Однако Артета сильно не переживает по этому поводу, потому что ""канониры"" по-прежнему хорошо играют.,""Мы проанализировали все. Были ли соперники лучше нас в матчах, которые мы не выиграли? Четкий ответ — ""нет"".,""Должны ли мы были выиграть больше этих матчей? Ответ — ""да"". Мне нравится, что делает наша команда, но мы должны улучшить определенные вещи. Особенно оборонительные действия и игру в чужой штрафной"", — цитирует Артету Sky Sports.,17:00,19:30,23:00,23:00,23:00","Арсенал,Артета,Премьер-Лига",1355,4,23.11.2024,/posts/111374/
"Мареска рассказал о своей связи с игроками ""Лестера""","Рулевой ""Челси"" Энцо Мареска рассказал, какая связь у него была с игроками своего бывшего клуба ""Лестера"".,Мареска провел в ""Лестере"" всего один сезон, минувшим летом перебравшись в ""Челси"", однако в этом единственном сезоне на ""Кинг Пауэр"" Энцо успел завоевать титул Чемпионшипа.,Также у Марески сложились очень доверительные отношения с игроками ""Лестера"", что вылилось в шумную вечеринку в апреле, когда ""лисы"" повысились в классе.,""Лучший подарок, который я получил от прошлого сезона, случился, когда мы повысились в классе, и они приехали ко мне домой. Вся команда"".,""Это показывает связь между игроками. Они могли отправиться на вечеринку в любое другое место, но все они приехали ко мне домой. То была великолепная связь, и я всегда буду благодарен им"".,""Я был дома, празднуя со своим штабом и семьей, когда около двух часов утра явилась вся команда. Мы праздновали все вместе"".,""Когда я был игроком и что-нибудь выигрывал, у меня никогда и мысли не возникало отправиться к тренеру домой. Это показывает связь"", — цитирует Мареску The Independent.,17:00,19:30,23:00,23:00,23:00","Лестер,Мареска,Челси",1310,0,23.11.2024,/posts/111375/
"Артета: ""Уайт пропустит несколько месяцев""","Защитник ""Арсенала"" Бен Уайт пропустит несколько недель, восстанавливаясь после операции на колене.,Уайт выходил в стартовом составе на последний матч для ""Арсенала"" перед этим международным перерывом, отыграв все 90 минут против ""Челси"" (1:1).,Затем Уайт перенес ""небольшую хирургическую процедуру"" на коленном суставе, как назвал ее клуб, однако эта процедура надолго вывела 27-летнего англичанина из строя.,""К сожалению, Бен Уайт пропустит несколько месяцев. У него были различные проблемы, никогда не одно и то же. Нам пришлось принять решение об операции, и Бен уже чувствует себя лучше. Мы знаем, что Бен всегда старается изо всех сил, но есть предел, когда вы должны поберечь игрока"".,""Нам пришлось провести операцию, он с этим согласился, и это оставит его вне игры на несколько месяцев"".,""Мы посмотрим, какой будет реакция организма, но я не ожидаю, что он пропустит полтора года, хотя точно я не могу назвать сроки"", — цитирует главного тренера ""Арсенала"" Микеля Артету Sky Sports.,17:00,19:30,23:00,23:00,23:00","Арсенал,травмы,Уайт",1740,3,22.11.2024,/posts/111365/
"Аморим: ""Я отличаюсь от Моуриньо""","Наставник ""Манчестер Юнайтед"" Рубен Аморим заявил, что его не нужно сравнивать с Жозе Моуриньо.,Португалец Моуриньо, соотечественник Аморима, оставил заметный след в английском футболе, где он тренировал ""Тоттенхэм"", ""Юнайтед"" и дважды ""Челси"".,Уже в своем первом сезоне в ""Юнайтед"" Моуриньо выиграл Кубок Лиги и Лигу Европы, однако Аморим чувствует, что он не похож на Жозе и вообще трудится в другую эпоху.,""Я отличаюсь от Моуриньо"".,""Я помню то время — ты смотрел на Моуриньо и чувствовал, что он может побеждать везде. В моем случае это так. Он становился чемпионом Европы, я — нет"".,""В наши дни футбол стал сложнее. Думаю, я — правильный человек для этого момента. Я — молодой парень, и я постараюсь использовать это, чтобы помочь своим игрокам"".,""В те времена у него были Лэмпард и тому подобные игроки, в наши дни это гораздо сложнее. Думаю, я — правильный человек для настоящего"", — цитирует Аморима BBC.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,Моуриньо,тренеры",2122,5,22.11.2024,/posts/111367/
Дисквалификация Флетчера сокращена до двух матчей,"В результате апелляции дисквалификация члена тренерского штаба ""Манчестер Юнайтед"" Даррена Флетчера была сокращена до двух матчей.,Ранее в ноябре FA подвергла Флетчера дисквалификации на три матча и штрафу в 7,500 фунтов как наказание за оскорбление бригады арбитров в перерыве победного для ""Юнайтед"" матча Премьер-Лиги против ""Брентфорда"" 19 октября (2:1).,Флетчер был крайне возмущен, что рефери Самуэль Барротт отправил защитника Маттейса Де Лигта за пределы поля останавливать кровотечение, и как раз в этот момент ""Брентфорд"" открыл счет.,40-летний шотландец посчитал свое наказание чересчур суровым и подал апелляцию, которая была удовлетворена, сообщает Daily Mail. Дисквалификация была сокращена до двух матчей, а штраф — до 6,000 фунтов.,Добавим, Флетчер сохранил свою работу в ""Юнайтед"" после увольнения Эрика Тен Хага и прихода Рубена Аморима на должность главного тренера.,17:00,19:30,23:00,23:00,23:00","дисквалификации,Манчестер Юнайтед,Флетчер",690,1,22.11.2024,/posts/111369/
"Гвардиола подтвердил, что останется в ""Сити"", если клуб исключат из Премьер-Лиги","Рулевой ""Манчестер Сити"" Хосеп Гвардиола подтвердил, что никуда не уйдет, если его клуб будет исключен из Премьер-Лиги.,Уже весной ""Сити"" может узнать вердикт по громкому делу о 115 нарушениях правил финансового фейр-плей Премьер-Лиги.,Если вина ""Сити"" будет доказана, ""горожане"" могут столкнуться с самыми суровыми санкциями, вплоть до понижения в классе. Однако эти опасения не помешали Гвардиоле продлить свой контракт до 2027 года.,""Еще шесть месяцев назад я сказал, что останусь. У вас есть мои интервью"".,""Я сказал это, когда все клубы обвиняли нас в том, что мы совершили нечто неправильное. Люди спрашивали: ""Что будет, если мы вылетим?"" Я сказал, что буду здесь"".,""Я не знаю, куда они могут отправить нас, в Конференцию? Но на следующий сезон мы повысимся, затем снова и вернемся в Премьер-Лигу"".,""Я понимал это еще тогда. И я так чувствую"", — цитирует Гвардиолу BBC.,17:00,19:30,23:00,23:00,23:00","Гвардиола,Манчестер Сити",1328,0,22.11.2024,/posts/111368/
Аморим не винит Каземиро и Рэшфорда за поездку в США,"Главный тренер ""Манчестер Юнайтед"" Рубен Аморим заявил, что не имеет претензий к своим игрокам Каземиро и Маркусу Рэшфорду из-за поездки в США в этот международный перерыв.,На днях легенда ""Юнайтед"" Гари Невилл жестко раскритиковал Каземиро и Рэшфорда и обвинил обоих в непрофессионализме.,Невилл был возмущен, что вместо того, чтобы пораньше приступить к работе с Аморимом на базе в Каррингтоне, обе звезды ""Юнайтед"" улетели развлекаться в Америку.,Однако Аморим считает претензии к Каземиро и Рэшфорду необоснованными, ведь это клуб разрешил игрокам провести свободное время, как захочется.,""Во-первых, у них было пять дней отдыха. Во-вторых, это клуб передал им информацию о пяти днях отдыха. Они — большие мальчики"".,""Мы как клуб должны устанавливать стандарты и контролировать их соблюдение. Если я даю им пять или три дня отдыха, и они не могут никуда улететь, значит таково мое решение. Это мы как клуб будем решать"".,""Будет ли при мне структура другой? Да, несомненно. Но мы не можем сваливать это на игроков. Им сказали, что у них есть пять дней отдыха, и они могут лететь куда-угодно. Потому что никто в клубе не запрещал им лететь"".,""Поэтому они должны жить своей жизнью, потому что они — взрослые люди, и они должны принимать решения. Но мы как клуб должны изменить эти стандарты"", — сообщил Аморим Sky Sports.,17:00,19:30,23:00,23:00,23:00","Аморим,Каземиро,Манчестер Юнайтед,Рэшфорд",3239,0,23.11.2024,/posts/111371/
"Аморим признал, что ему нужен краткосрочный успех в МЮ","Главный тренер ""Манчестер Юнайтед"" Рубен Аморим признал, что ему нужно выиграть трофеи в краткосрочной перспективе, чтобы обеспечить себе время для достижения более долгосрочных целей.,В данный момент Аморим готовится к своему дебюту на новом месте работы, и для начала Рубену предстоит навестить ""Ипсвич"".,""Юнайтед"" не может выиграть Премьер-Лигу со времен сэра Алекса Фергюсона в 2013 году, однако Аморим мечтает о том, чтобы вернуть титул на ""Олд Траффорд"".,""Я немного являюсь мечтателем. Я верю в себя, а также я верю в клуб. Думаю, у нас одинаковые идеи, одинаковый настрой, так что это может помочь, но также я искренне верю в своих игроков. Мне известно, что вы, парни, не очень-то верите в этих игроков. Но я — очень"".,""У нас есть пространство для прогресса, я хочу попробовать новые вещи. Вы, парни, думаете, что это невозможно, а я думаю, возможно. В конце концов увидим"".,""У меня есть контракт на два с половиной года, так что в процессе, через два года, вы сможете понять, правильный ли я тренер. Думаю, нам нужно больше времени, потому что другие клубы, которые выигрывают эту лигу, давно следуют своему процессу. Но при этом они побеждают, и поэтому у них есть время для своего проекта"".,""Я понимаю, что нам нужно больше времени, чем два с половиной года, и нам нужно будет что-нибудь выиграть, но через два года вы сможете понять, хотите ли вы продолжать или хотите перемен. Посмотрим, как долго это будет. Мы должны выигрывать матчи, чтобы выиграть время, чтобы затем выигрывать трофеи"", — цитирует Аморима Daily Mail.,17:00,19:30,23:00,23:00,23:00","Аморим,Манчестер Юнайтед,тренеры",1781,0,22.11.2024,/posts/111366/
"""Юнайтед"" обдумывает покупку Эдерсона в январе","""Манчестер Юнайтед"" обдумывает приобретение опорного полузащитника итальянской ""Аталанты"" Эдерсона в январе.,Ранее на этой неделе появилась информация, что ""Манчестер Сити"" уже обратился к агентам Эдерсона, рассматривая того в качестве замены травмированному Родри.,По информации Sky Sport Germany, заполучить Эдерсона хочет и ""Юнайтед"", в идеале — уже в зимнее трансферное окно.,Утверждается, что боссы ""Юнайтед"" уже ведут внутренние переговоры насчет трансфера Эдерсона, очень высоко оценивая 25-летнего бразильца.,Сейчас Эдерсон проводит свой третий сезон за ""Аталанту"", а его контракт рассчитан до 2027 года.,17:00,19:30,23:00,23:00,23:00","Аталанта,Манчестер Юнайтед,Эдерсон",1378,1,23.11.2024,/posts/111372/
"""Челси"" проявил интерес к Лиаму Делапу","""Челси"" проявил интерес к нападающему ""Ипсвича"" Лиаму Делапу.,Как сообщает i Sport, ""Челси"" нацелился на Делапа после того, как не смог заполучить Виктора Осимхена минувшим летом и охладел к Александеру Исаку.,Делап сенсационным образом начал свою карьеру в ""Ипсвиче"" после перехода из ""Манчестер Сити"" за 20 миллионов фунтов, забив шесть голов в 11 матчах Премьер-Лиги за команду, которая одержала лишь одну победу в этом сезоне.,Своей игрой Делап привлек внимание и ряда других клубов, помимо ""Челси"". При этом ""Сити"" принадлежит опция обратного выкупа 21-летнего англичанина, а также ""горожанам"" положена доля с последующей перепродажи игрока ""Ипсвичем"".,17:00,19:30,23:00,23:00,23:00","Делап,Ипсвич,Челси",1335,3,23.11.2024,/posts/111377/
"Нкунку не чувствует себя счастливым в ""Челси"", но в январе не уйдет","Нападающий Кристофер Нкунку не чувствует себя счастливым в ""Челси"", но едва ли покинет лондонский клуб в зимнее трансферное окно.,Несмотря на все обещания главного тренера ""Челси"" Энцо Марески, Нкунку по-прежнему крайне ограничен в игровом времени в рамках Премьер-Лиги, где в этом сезоне ему лишь однажды удалось попасть в стартовый состав.,Нкунку уже давно сватают в другие клубы, но The Athletic может подтвердить, что ""Челси"" не получал запросов от ПСЖ, а ""Манчестер Юнайтед"", называемый одним из претендентов на Кристофера, не сможет покупать в январе, пока кого-нибудь не продаст.,Также Нкунку исключает свой переезд в Саудовскую Аравию, а вариант с арендой не рассматривают ни клуб, ни игрок.,Контракт Нкунку с ""Челси"" действителен еще более трех лет, поэтому с высокой вероятностью игрок сборной Франции останется на ""Стэмфорд Бридж"" до конца сезона, а уже затем примет решение насчет своего будущего.,17:00,19:30,23:00,23:00,23:00","Нкунку,Челси",1228,1,23.11.2024,/posts/111378/
12-й тур Премьер-Лиги. Анонс матчей субботы,"В субботу, 23 ноября, семью поединками стартует 12-й тур Премьер-Лиги. Предлагаем вашему вниманию анонс этих матчей.,15:30,,""Лестер"" пропускал первым в девяти из 11 своих матчей в этом сезоне Премьер-Лиги — больше всех в дивизионе. ""Челси"" выиграл только один из своих семи последних поединков чемпионата, следовавших за международным перерывом (3 ничьи, 3 поражения). ""Синие"" одержали девять побед в 13 последних выездах к ""лисам"" во всех соревнованиях (2 ничьи, 2 поражения).,Вингер ""Лестера"" Абдул Фатаву уже не сыграет в этом сезоне из-за разрыва крестообразных связок колена. Джейми Варди возобновил тренировки, решив свои проблемы со спиной. Патсон Дака вернулся в строй после трех месяцев отсутствия с травмой лодыжки. Джордан Айю избежал серьезного повреждения в сборной Ганы.,Капитан ""Челси"" Рис Джеймс получил травму задней поверхности бедра на тренировке. Мало Гюсто, Коул Палмер и Джейдон Санчо снова в порядке, как и Леви Колуилл, Весле Фофана и Ромео Лавиа, которые не ездили в свои сборные.,18:00,""Фулхэм"" имеет возможность впервые с января прошлого года оформить три победы подряд в Премьер-Лиге. ""Вулверхэмптон"" не выиграл ни одного из 11 последних выездных поединков в чемпионате (4 ничьи, 7 поражений). ""Дачники"" одержали лишь одну победу в восьми последних встречах с ""волками"" в рамках Премьер-Лиги (3 ничьи, 4 поражения).,Полузащитник ""Фулхэма"" Саша Лукич, который отсутствовал с начала октября из-за травмы плеча, окончательно выздоровел. Харрисон Рид нуждается в операции на колене и пропустит пять-шесть недель.,""Вулверхэмптон"" устроит фитнес-тест для Сантьяго Буэно, который досрочно вернулся из сборной Уругвая с мышечным повреждением. Может сыграть Хван Хи Чхан, но Йерсон Москера, Энсо Гонсалес, Саша Калайджич и Бубакар Траоре остаются в лазарете.,18:00,Начав этот сезон Премьер-Лиги с четырех поражений подряд, затем ""Эвертон"" проиграл лишь один из семи матчей. ""Брентфорд"" — лучшая команда дивизиона дома (16 очков из 18 возможных), но на выезде — вторая худшая (5 поражений из 5 возможных). При Шоне Дайче ""ириски"" выиграли все три встречи с ""пчелами"" в Премьер-Лиге.,Защитник ""Эвертона"" Джаррард Брантуэйт, который не смог откликнуться на вызов в сборную Англии, решил свои проблемы с пахом. Поправился и Дуайт Макнил. Армандо Бройя и Юссеф Шермини возобновили тренировки, но играть еще не готовы. Шеймус Коулмен, Джеймс Гарнер и Тим Айрогбунам остаются в лазарете.,""Брентфорд"" ожидает, что Итан Пиннок, Йоан Висса и Бриан Мбемо залечат свои болячки к субботе. Игорь Тиаго, перенесший операцию на колене в июле, должен попасть в заявку.,18:00,""Борнмут"" находится в поисках своей четвертой подряд победы в высшем дивизионе, что стало бы клубным рекордом. 19 очков после 11 первых матчей — это лучший старт сезона для ""Брайтона"" в элите. ""Чайки"" проиграли четыре из пяти последних выездов к ""вишенкам"" в Премьер-Лиге (1 победа).,Полузащитник ""Борнмута"" Райан Кристи пропустит этот матч из-за перебора желтых карточек.,Капитан ""Брайтона"" Льюис Данк, пропустивший месяц с травмой икроножной мышцы, снова в строю. Джек Хиншелвуд под вопросом. Ферди Кадиоглу едва ли успеет поправиться вовремя.,18:00,Впервые в своей тренерской карьере Унаи Эмери из ""Астон Виллы"" потерпел четыре поражения подряд с учетом всех соревнований (1,026 матчей). Семь очков после 11 первых матчей — это третий худший старт сезона в Премьер-Лиге для ""Кристал Пэлас"" после 2013/14 и 2017/18. ""Вилланы"" потерпели единственное поражение в 12 последних домашних встречах с ""орлами"" (7 побед, 4 ничьи).,Из своих сборных в расположение ""Виллы"" вернулись травмированными Эзри Конса и Амаду Онана. Джейкоб Рэмси и Бубакар Камара продолжают лечиться. Мэтти Кэш и Росс Баркли снова в строю.,""Пэлас"" снова может рассчитывать на полузащитников Джефферсона Лерма, который залечил травму, и Уилла Хьюза, который отбыл дисквалификацию. Эберечи Эзе едва вернулся к тренировкам и в субботу не сыграет.,18:00,,""Арсенал"" выиграл только два из семи последних матчей во всех соревнованиях. ""Ноттингем Форест"" не потерпел ни одного поражения в семи последних выездных поединках чемпионата. ""Лесники"" одержали лишь две победы в 14 встречах с ""канонирами"" в Премьер-Лие, обе — дома, в 1996 и 2023 годах.,Защитник ""Арсенала"" Бен Уайт пропустит несколько месяцев после операции на колене. Леандро Троссард должен быть в порядке, несмотря на полученное в сборной Бельгии повреждение. Деклану Райсу и Букайо Сака предстоит фитнес-тест. Рикардо Калафори снова доступен. Киран Тирни возобновил тренировки после пяти месяцев в лазарете.,В лазарете ""Форест"" остаются Данило и Ибраим Сангаре. Еще несколько игроков под вопросом.,20:30,""Манчестер Сити"" потерпел четыре поражения подряд во всех соревнованиях, чего прежде еще не случалось в тренерской карьере Хосепа Гвардиолы. На данной стадии прошлого сезона Премьер-Лиги у ""Тоттенхэма"" было на 10 очков больше при одинаковом количестве забитых (23) и пропущенных (13). ""Горожане"" выиграли только три из 10 последних встреч со ""шпорами"" в чемпионате (2 ничьи, 5 поражений).,Полузащитник ""Сити"" Матео Ковачич вернулся с травмой из сборной Хорватии и теперь пропустит минимум три недели. Джон Стоунс и Мануэль Аканджи вернулись в строй, также могут быть доступны Жереми Доку, Фил Фоден и Джек Грилиш, но Натану Аке и Рубену Диашу нужно больше времени.,Полузащитник ""Тоттенхэма"" Родриго Бентанкур приступает к семиматчевой дисквалификации за расистскую шутку. Кристиан Ромеро не успевает восстановиться к субботе.,17:00,19:30,23:00,23:00,23:00","анонс тура,Премьер-Лига",5171,171,23.11.2024,/posts/111370/
